,Government affairs/ regulatory activities,Marketing opportunities,Annual Meeting,Educational events,Member pricing advantages,Networking opportunities,Support the mission of BioNJ,BioNJ Business Solutions Purchasing Program,"BioLines, the BioNJ e-letter",HR/job openings,To participate in advancing/ contributing to the industry,Other
All Respondents,37.7%,51.2%,32.1%,54.3%,25.9%,88.3%,69.8%,6.2%,14.8%,14.2%,77.2%,1.2%
Biotechnology/ Life Science R&D,46.3%,23.2%,28.0%,59.8%,32.9%,81.7%,78.0%,8.5%,14.6%,20.7%,78.0%,2.4%
Biotechnology/ Life Science Service,24.1%,81.0%,34.5%,46.6%,20.7%,96.6%,56.9%,5.2%,15.5%,8.6%,74.1%,0.0%
Other,38.1%,76.2%,42.9%,52.4%,9.5%,90.5%,71.4%,0.0%,14.3%,4.8%,81.0%,0.0%
CEO/CFO,29.1%,52.7%,38.2%,58.2%,27.3%,89.1%,69.1%,5.5%,12.7%,16.4%,72.7%,0.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",51.7%,44.8%,13.8%,55.2%,17.2%,75.9%,79.3%,0.0%,17.2%,17.2%,72.4%,3.4%
Service Provider,12.5%,81.3%,31.3%,56.3%,18.8%,87.5%,68.8%,0.0%,6.3%,6.3%,68.8%,0.0%
Business Dev Director,28.6%,60.7%,32.1%,39.3%,21.4%,96.4%,57.1%,7.1%,17.9%,14.3%,82.1%,0.0%
Other/Research,58.8%,32.4%,38.2%,58.8%,38.2%,91.2%,73.5%,14.7%,17.6%,11.8%,88.2%,2.9%
Less than 10,28.6%,61.2%,32.7%,49.0%,28.6%,89.8%,69.4%,8.2%,16.3%,2.0%,75.5%,2.0%
10 - 49,39.1%,50.0%,28.3%,58.7%,26.1%,87.0%,67.4%,2.2%,19.6%,30.4%,71.7%,0.0%
50 or More,48.8%,48.8%,37.2%,55.8%,18.6%,90.7%,67.4%,7.0%,16.3%,11.6%,86.0%,2.3%
