,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,20.0%,35.2%,37.6%,5.6%,1.6%
Biotechnology/ Life Science R&D,14.8%,32.8%,44.3%,8.2%,0.0%
Biotechnology/ Life Science Service,26.1%,37.0%,28.3%,4.3%,4.3%
Other,23.5%,41.2%,35.3%,0.0%,0.0%
CEO/CFO,14.3%,38.1%,33.3%,9.5%,4.8%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",27.3%,27.3%,45.5%,0.0%,0.0%
Service Provider,8.3%,41.7%,41.7%,8.3%,0.0%
Business Dev Director,30.4%,34.8%,34.8%,0.0%,0.0%
Other/Research,19.2%,34.6%,38.5%,7.7%,0.0%
Less than 10,23.7%,28.9%,34.2%,7.9%,5.3%
10 - 49,18.8%,31.3%,43.8%,6.3%,0.0%
50 or More,20.0%,42.5%,37.5%,0.0%,0.0%
Primary responsibility,17.2%,43.1%,31.0%,5.2%,3.4%
Some responsibility,26.1%,26.1%,41.3%,6.5%,0.0%
No responsibility,15.0%,35.0%,45.0%,5.0%,0.0%
