,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,29.8%,49.6%,17.0%,3.5%,
Biotechnology/ Life Science R&D,28.6%,54.3%,14.3%,2.9%,
Biotechnology/ Life Science Service,36.5%,44.2%,13.5%,5.8%,
Other,16.7%,50.0%,33.3%,0.0%,
CEO/CFO,39.2%,41.2%,15.7%,3.9%,
"Reg/Mktg,Pub Policy/Comm, HR, Legal",20.0%,64.0%,16.0%,0.0%,
Service Provider,15.4%,46.2%,30.8%,7.7%,
Business Dev Director,41.7%,58.3%,0.0%,0.0%,
Other/Research,17.9%,46.4%,28.6%,7.1%,
Less than 10,30.2%,44.2%,20.9%,4.7%,
10 - 49,21.1%,50.0%,26.3%,2.6%,
50 or More,33.3%,57.1%,7.1%,2.4%,
Primary responsibility,37.3%,47.8%,11.9%,3.0%,
Some responsibility,28.6%,55.1%,14.3%,2.0%,
No responsibility,12.5%,41.7%,37.5%,8.3%,
