,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,24.1%,60.6%,11.7%,3.6%,
Biotechnology/ Life Science R&D,21.4%,67.1%,8.6%,2.9%,
Biotechnology/ Life Science Service,31.4%,52.9%,9.8%,5.9%,
Other,13.3%,53.3%,33.3%,0.0%,
CEO/CFO,26.5%,59.2%,8.2%,6.1%,
"Reg/Mktg,Pub Policy/Comm, HR, Legal",28.0%,60.0%,12.0%,0.0%,
Service Provider,8.3%,75.0%,8.3%,8.3%,
Business Dev Director,30.4%,52.2%,17.4%,0.0%,
Other/Research,17.9%,64.3%,14.3%,3.6%,
Less than 10,23.1%,53.8%,15.4%,7.7%,
10 - 49,18.4%,63.2%,15.8%,2.6%,
50 or More,29.3%,61.0%,9.8%,0.0%,
Primary responsibility,25.4%,63.5%,6.3%,4.8%,
Some responsibility,26.0%,58.0%,14.0%,2.0%,
No responsibility,17.4%,56.5%,21.7%,4.3%,
