,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,12.6%,19.4%,46.6%,15.5%,5.8%
Biotechnology/ Life Science R&D,13.5%,34.6%,44.2%,7.7%,0.0%
Biotechnology/ Life Science Service,12.8%,2.6%,51.3%,17.9%,15.4%
Other,9.1%,9.1%,36.4%,45.5%,0.0%
CEO/CFO,18.4%,23.7%,28.9%,15.8%,13.2%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",7.1%,21.4%,57.1%,7.1%,7.1%
Service Provider,8.3%,16.7%,50.0%,25.0%,0.0%
Business Dev Director,17.6%,5.9%,58.8%,17.6%,0.0%
Other/Research,4.5%,22.7%,59.1%,13.6%,0.0%
Less than 10,6.7%,16.7%,43.3%,20.0%,13.3%
10 - 49,13.8%,13.8%,55.2%,13.8%,3.4%
50 or More,10.7%,28.6%,46.4%,10.7%,3.6%
Primary responsibility,12.0%,20.0%,34.0%,24.0%,10.0%
Some responsibility,15.4%,17.9%,56.4%,7.7%,2.6%
No responsibility,7.7%,23.1%,61.5%,7.7%,0.0%
