,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,21.4%,42.0%,30.5%,5.3%,0.8%
Biotechnology/ Life Science R&D,14.3%,54.0%,27.0%,4.8%,0.0%
Biotechnology/ Life Science Service,29.4%,27.5%,33.3%,7.8%,2.0%
Other,25.0%,43.8%,31.3%,0.0%,0.0%
CEO/CFO,18.8%,50.0%,22.9%,6.3%,2.1%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,40.0%,30.0%,5.0%,0.0%
Service Provider,14.3%,21.4%,50.0%,14.3%,0.0%
Business Dev Director,31.8%,36.4%,31.8%,0.0%,0.0%
Other/Research,18.5%,44.4%,33.3%,3.7%,0.0%
Less than 10,25.6%,38.5%,23.1%,10.3%,2.6%
10 - 49,16.2%,37.8%,43.2%,2.7%,0.0%
50 or More,24.3%,43.2%,29.7%,2.7%,0.0%
Primary responsibility,20.3%,43.8%,29.7%,4.7%,1.6%
Some responsibility,29.5%,38.6%,25.0%,6.8%,0.0%
No responsibility,9.1%,40.9%,45.5%,4.5%,0.0%
