,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,20.9%,31.8%,39.1%,7.3%,0.9%
Biotechnology/ Life Science R&D,10.7%,37.5%,37.5%,14.3%,0.0%
Biotechnology/ Life Science Service,34.2%,28.9%,34.2%,0.0%,2.6%
Other,26.7%,20.0%,53.3%,0.0%,0.0%
CEO/CFO,32.5%,37.5%,17.5%,10.0%,2.5%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",11.1%,33.3%,50.0%,5.6%,0.0%
Service Provider,33.3%,50.0%,16.7%,0.0%,0.0%
Business Dev Director,11.8%,29.4%,58.8%,0.0%,0.0%
Other/Research,8.7%,13.0%,65.2%,13.0%,0.0%
Less than 10,19.4%,22.6%,45.2%,9.7%,3.2%
10 - 49,28.1%,34.4%,34.4%,3.1%,0.0%
50 or More,3.4%,41.4%,48.3%,6.9%,0.0%
Primary responsibility,36.5%,30.8%,23.1%,7.7%,1.9%
Some responsibility,5.6%,33.3%,55.6%,5.6%,0.0%
No responsibility,9.5%,28.6%,52.4%,9.5%,0.0%
