,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,17.7%,53.1%,24.6%,4.6%,
Biotechnology/ Life Science R&D,14.7%,57.4%,25.0%,2.9%,
Biotechnology/ Life Science Service,20.0%,44.4%,28.9%,6.7%,
Other,25.0%,56.3%,12.5%,6.3%,
CEO/CFO,20.9%,41.9%,34.9%,2.3%,
"Reg/Mktg,Pub Policy/Comm, HR, Legal",16.7%,66.7%,16.7%,0.0%,
Service Provider,9.1%,63.6%,9.1%,18.2%,
Business Dev Director,29.2%,45.8%,20.8%,4.2%,
Other/Research,7.1%,60.7%,25.0%,7.1%,
Less than 10,22.9%,37.1%,34.3%,5.7%,
10 - 49,7.9%,63.2%,26.3%,2.6%,
50 or More,18.9%,59.5%,18.9%,2.7%,
Primary responsibility,20.7%,50.0%,24.1%,5.2%,
Some responsibility,20.0%,50.0%,26.0%,4.0%,
No responsibility,4.8%,71.4%,19.0%,4.8%,
