,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,3.3%,20.9%,44.0%,25.3%,6.6%
Biotechnology/ Life Science R&D,2.1%,34.0%,46.8%,17.0%,0.0%
Biotechnology/ Life Science Service,6.1%,3.0%,45.5%,27.3%,18.2%
Other,0.0%,20.0%,20.0%,60.0%,0.0%
CEO/CFO,2.9%,31.4%,28.6%,25.7%,11.4%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,28.6%,50.0%,14.3%,7.1%
Service Provider,0.0%,11.1%,33.3%,55.6%,0.0%
Business Dev Director,7.7%,7.7%,53.8%,23.1%,7.7%
Other/Research,5.0%,10.0%,65.0%,20.0%,0.0%
Less than 10,3.7%,14.8%,37.0%,33.3%,11.1%
10 - 49,0.0%,22.2%,51.9%,18.5%,7.4%
50 or More,4.2%,25.0%,45.8%,20.8%,4.2%
Primary responsibility,0.0%,23.3%,34.9%,30.2%,11.6%
Some responsibility,8.8%,17.6%,47.1%,23.5%,2.9%
No responsibility,0.0%,23.1%,61.5%,15.4%,0.0%
