,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,4.3%,18.1%,43.6%,23.4%,10.6%
Biotechnology/ Life Science R&D,4.0%,30.0%,48.0%,16.0%,2.0%
Biotechnology/ Life Science Service,6.1%,6.1%,39.4%,21.2%,27.3%
Other,0.0%,0.0%,30.0%,70.0%,0.0%
CEO/CFO,5.7%,14.3%,34.3%,25.7%,20.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,35.7%,35.7%,21.4%,7.1%
Service Provider,0.0%,11.1%,44.4%,44.4%,0.0%
Business Dev Director,6.7%,6.7%,53.3%,26.7%,6.7%
Other/Research,4.8%,23.8%,57.1%,9.5%,4.8%
Less than 10,4.0%,8.0%,40.0%,28.0%,20.0%
10 - 49,3.6%,14.3%,50.0%,21.4%,10.7%
50 or More,3.7%,33.3%,40.7%,18.5%,3.7%
Primary responsibility,2.2%,11.1%,35.6%,31.1%,20.0%
Some responsibility,8.8%,20.6%,50.0%,17.6%,2.9%
No responsibility,0.0%,35.7%,50.0%,14.3%,0.0%
