,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,18.3%,49.2%,21.7%,5.8%,5.0%
Biotechnology/ Life Science R&D,16.7%,66.7%,13.3%,3.3%,0.0%
Biotechnology/ Life Science Service,14.0%,34.9%,27.9%,9.3%,14.0%
Other,37.5%,25.0%,31.3%,6.3%,0.0%
CEO/CFO,19.0%,50.0%,19.0%,2.4%,9.5%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",20.0%,65.0%,10.0%,0.0%,5.0%
Service Provider,0.0%,25.0%,41.7%,33.3%,0.0%
Business Dev Director,15.0%,50.0%,25.0%,5.0%,5.0%
Other/Research,26.9%,46.2%,23.1%,3.8%,0.0%
Less than 10,18.2%,42.4%,21.2%,9.1%,9.1%
10 - 49,14.3%,51.4%,22.9%,5.7%,5.7%
50 or More,20.6%,52.9%,20.6%,2.9%,2.9%
Primary responsibility,21.7%,43.3%,21.7%,5.0%,8.3%
Some responsibility,16.3%,58.1%,16.3%,7.0%,2.3%
No responsibility,12.5%,50.0%,31.3%,6.3%,0.0%
