,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,4.8%,20.2%,51.0%,22.1%,1.9%
Biotechnology/ Life Science R&D,0.0%,15.7%,49.0%,33.3%,2.0%
Biotechnology/ Life Science Service,10.3%,30.8%,43.6%,12.8%,2.6%
Other,7.7%,7.7%,76.9%,7.7%,0.0%
CEO/CFO,10.0%,20.0%,30.0%,35.0%,5.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,26.3%,63.2%,10.5%,0.0%
Service Provider,0.0%,20.0%,60.0%,20.0%,0.0%
Business Dev Director,6.3%,31.3%,56.3%,6.3%,0.0%
Other/Research,0.0%,5.3%,73.7%,21.1%,0.0%
Less than 10,11.1%,14.8%,40.7%,29.6%,3.7%
10 - 49,0.0%,20.0%,56.7%,23.3%,0.0%
50 or More,3.1%,25.0%,59.4%,12.5%,0.0%
Primary responsibility,10.0%,16.0%,42.0%,28.0%,4.0%
Some responsibility,0.0%,24.3%,56.8%,18.9%,0.0%
No responsibility,0.0%,25.0%,62.5%,12.5%,0.0%
