,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,27.3%,36.4%,9.1%,27.3%,0.0%
Biotechnology/ Life Science R&D,18.2%,18.2%,18.2%,27.3%,18.2%
Biotechnology/ Life Science Service,20.0%,10.0%,30.0%,40.0%,0.0%
Other,22.2%,44.4%,0.0%,22.2%,11.1%
CEO/CFO,33.3%,33.3%,0.0%,0.0%,33.3%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",4.5%,68.2%,27.3%,0.0%,0.0%
Service Provider,10.0%,50.0%,30.0%,10.0%,0.0%
Business Dev Director,8.7%,52.2%,30.4%,0.0%,8.7%
Other/Research,8.3%,45.8%,41.7%,4.2%,0.0%
Less than 10,2.9%,62.9%,25.7%,8.6%,0.0%
10 - 49,2.8%,52.8%,33.3%,8.3%,2.8%
50 or More,11.4%,57.1%,28.6%,0.0%,2.9%
Primary responsibility,5.2%,56.9%,27.6%,8.6%,1.7%
Some responsibility,4.3%,56.5%,34.8%,2.2%,2.2%
No responsibility,11.8%,58.8%,29.4%,0.0%,0.0%
