,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,22.7%,26.6%,32.0%,13.3%,5.5%
Biotechnology/ Life Science R&D,27.7%,27.7%,32.3%,9.2%,3.1%
Biotechnology/ Life Science Service,12.5%,29.2%,31.3%,16.7%,10.4%
Other,35.7%,14.3%,28.6%,21.4%,0.0%
CEO/CFO,39.1%,19.6%,21.7%,10.9%,8.7%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",13.6%,36.4%,36.4%,9.1%,4.5%
Service Provider,10.0%,20.0%,20.0%,40.0%,10.0%
Business Dev Director,12.5%,29.2%,41.7%,12.5%,4.2%
Other/Research,15.4%,30.8%,42.3%,11.5%,0.0%
Less than 10,21.6%,24.3%,32.4%,13.5%,8.1%
10 - 49,19.4%,27.8%,30.6%,16.7%,5.6%
50 or More,24.3%,27.0%,37.8%,10.8%,0.0%
Primary responsibility,23.3%,18.3%,28.3%,20.0%,10.0%
Some responsibility,23.9%,34.8%,32.6%,6.5%,2.2%
No responsibility,14.3%,33.3%,42.9%,9.5%,0.0%
