,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,23.0%,44.4%,26.7%,5.2%,0.7%
Biotechnology/ Life Science R&D,30.0%,48.6%,20.0%,1.4%,0.0%
Biotechnology/ Life Science Service,14.6%,33.3%,37.5%,12.5%,2.1%
Other,18.8%,56.3%,25.0%,0.0%,0.0%
CEO/CFO,21.3%,48.9%,19.1%,10.6%,0.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",36.0%,44.0%,20.0%,0.0%,0.0%
Service Provider,16.7%,33.3%,33.3%,8.3%,8.3%
Business Dev Director,21.7%,39.1%,39.1%,0.0%,0.0%
Other/Research,17.9%,46.4%,32.1%,3.6%,0.0%
Less than 10,16.7%,30.6%,36.1%,16.7%,0.0%
10 - 49,15.4%,43.6%,35.9%,2.6%,2.6%
50 or More,27.5%,55.0%,17.5%,0.0%,0.0%
Primary responsibility,16.1%,46.8%,27.4%,8.1%,1.6%
Some responsibility,28.6%,42.9%,24.5%,4.1%,0.0%
No responsibility,30.4%,43.5%,26.1%,0.0%,0.0%
