Background Questions,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,
,,Count Percent,Count,,,,,,,,,,,
All Respondents,_____________   _____________,100.0%,190,,,,,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,50.5%,95,,,,,,,,,,,
,Biotechnology/ Life Science Service,35.1%,66,,,,,,,,,,,
,Other,14.4%,27,,,,,,,,,,,
Position,CEO/CFO,36.0%,68,,,,,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",18.0%,34,,,,,,,,,,,
,Service Provider,9.0%,17,,,,,,,,,,,
,Business Dev Director,16.9%,32,,,,,,,,,,,
,Other/Research,20.1%,38,,,,,,,,,,,
NJ Employees,Less than 10,36.3%,58,,,,,,,,,,,
,10 - 49,32.5%,52,,,,,,,,,,,
,50 or More,31.3%,50,,,,,,,,,,,
BioNJ Membership,Yes,88.4%,168,,,,,,,,,,,
,Former member,5.8%,11,,,,,,,,,,,
,Never member,5.8%,11,,,,,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,45.0%,85,,,,,,,,,,,
,Some responsibility,37.0%,70,,,,,,,,,,,
,No responsibility,18.0%,34,,,,,,,,,,,
Overall Value of BioNJ Membership,Very Valuable/Valuable,75.5%,108,,,,,,,,,,,
,Neutral,21.0%,30,,,,,,,,,,,
,Not Valuable/Not Valuable At All,3.5%,5,,,,,,,,,,,
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,28.1%,43,,,,,,,,,,,
,Satisfied,58.2%,89,,,,,,,,,,,
,Neutral,9.8%,15,,,,,,,,,,,
,Not Satisfied/ Not Satisfied At All,3.9%,6,,,,,,,,,,,
,,,,,,,,,,,,,,
Q6a Reasons your company joined BioNJ (check all that apply) (member),,,,,,,,,,,,,,
,,Government affairs/ regulatory activities,Marketing opportunities,Annual Meeting,Educational events,Member pricing advantages,Networking opportunities,Support the mission of BioNJ,BioNJ Business Solutions Purchasing Program,"BioLines, the BioNJ e-letter",HR/job openings,To participate in advancing/ contributing to the industry,Other,Total
,,,,,,,,,,,,,,Count
