,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not At All Satisfied
All Respondents,6.8%,57.6%,32.2%,2.5%,0.8%
Biotechnology/ Life Science R&D,9.1%,57.6%,28.8%,3.0%,1.5%
Biotechnology/ Life Science Service,5.3%,55.3%,36.8%,2.6%,0.0%
Other,0.0%,64.3%,35.7%,0.0%,0.0%
CEO/CFO,10.3%,48.7%,38.5%,0.0%,2.6%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",9.1%,63.6%,22.7%,4.5%,0.0%
Service Provider,10.0%,40.0%,40.0%,10.0%,0.0%
Business Dev Director,0.0%,60.0%,40.0%,0.0%,0.0%
Other/Research,3.7%,70.4%,22.2%,3.7%,0.0%
Less than 10,12.5%,37.5%,46.9%,3.1%,0.0%
10 - 49,3.0%,69.7%,21.2%,3.0%,3.0%
50 or More,2.9%,70.6%,26.5%,0.0%,0.0%
Primary responsibility,5.8%,53.8%,38.5%,0.0%,1.9%
Some responsibility,9.3%,58.1%,27.9%,4.7%,0.0%
No responsibility,4.5%,63.6%,27.3%,4.5%,0.0%
