,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not At All Satisfied
All Respondents,28.1%,58.2%,9.8%,3.3%,0.7%
Biotechnology/ Life Science R&D,32.1%,55.1%,11.5%,1.3%,0.0%
Biotechnology/ Life Science Service,20.0%,63.6%,7.3%,7.3%,1.8%
Other,36.8%,52.6%,10.5%,0.0%,0.0%
CEO/CFO,26.4%,60.4%,7.5%,3.8%,1.9%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",33.3%,55.6%,11.1%,0.0%,0.0%
Service Provider,28.6%,50.0%,14.3%,7.1%,0.0%
Business Dev Director,30.8%,61.5%,3.8%,3.8%,0.0%
Other/Research,24.2%,57.6%,15.2%,3.0%,0.0%
Less than 10,25.5%,51.1%,10.6%,10.6%,2.1%
10 - 49,30.0%,57.5%,12.5%,0.0%,0.0%
50 or More,27.9%,65.1%,7.0%,0.0%,0.0%
Primary responsibility,22.5%,62.0%,9.9%,4.2%,1.4%
Some responsibility,33.3%,59.3%,3.7%,3.7%,0.0%
No responsibility,29.6%,48.1%,22.2%,0.0%,0.0%
